"
Lawyer","The international technopark of IT startups in search of a lawyer."
"
Инвестиционный аналитик","Международный технопарк IT стартапов в поисках инвестиционного аналитика."
"
Преподаватель по разработке нативных приложений Vision OS","Предоставление образовательных услуг и создание курса для освоения навыков реализации приложения для платформы Apple Vision Pro."
"
Smm-специалист/ рилсмейкер","Международная компания IT интегратор, с реализованным портфелем проектов 370+, примет в свою команду smm-специалиста"
"
PHP разработчик","Группа «Сентрас» – группа инновационных компаний, работающих в финансовой сфере.
В состав группы входят: «Сентрас Капитал» – головная компания Группы Сентрас;"
"
Full-stack .net разработчик","В связи с расширением компании и объемов работ мы ищем в нашу дружную и опытную команду разработчиков .NET/C#.

Вам предстоит разрабатывать back-end и front-end"
"
Графический дизайнер в IT","Международная компания IT интегратор, с реализованным портфелем проектов 370+, примет в свою команду графического дизайнера"
"
Oracle DBA","Вакансия Oracle DBA. Необходим опыт работы.
Кандидатам после курсов программирования, а-ля, программист за месяц, просьба не беспокоить."
"
Менеджер по работе с клиентами","Ищем Крутого Менеджера по работе с клиентами в Астане!"
"
Product owner","Привет!
Мы ищем крутого Product Ownerа в команду re:kassa


Ключевые задачи:
-Участие в стратегическом планировании компании и продуктов. 
-Управление бэклогом"
"
QA Engineer","Компания ""dBridge"" ищет в команду тестировщика"
"
Junior recruiter","Junior Recruiter for IT company"
"
iOs/Android разработчик","Мы ищем высококвалифицированного и опытного iOS/Android-разработчика, который присоединится к нашей команде."
"
Старший менеджер в офис ивентов","Международный технопарк IT стартапов в поисках старшего менеджера в офис ивентов."
"
Директор офиса технологических центров","Международный технопарк IT стартапов в поисках Директора офиса технологических центров."
"
Оператор Service Desk","Требуются ответственные и выдающиеся Операторы Service Desk"
"
Marketing Manager в IT школу Jusan Singularity","Краткое описание Есть вакансия Marketing Manager в IT школу Jusan Singularity🚀 📍г. Астана"
"
Backend developer","Мы оказываем услуги по разработке, внедрению и сопровождению программных проектов, при этом предлагающая полный цикл создания программного обеспечения."
"
Менеджер службы контроля качества","Международный технопарк IT-стартапов Astana Hub в поисках менеджера в службу контроля качества."
"
Backend developer","Мы оказываем услуги по разработке, внедрению и сопровождению программных проектов, при этом предлагающая полный цикл создания программного обеспечения."
"
Customer Support Engineer (VoIP service)","Customer Support Engineer"
"
Аналитик","Бизнес-аналитик"
"
Marketing Manager","Краткое описание

Есть вакансия Marketing Manager в IT школу Jusan Singularity🚀 📍г. Астана"
"
Преподаватель для детей по курсу ""Roblox""","Обучать детей основам 'Roblox'"
"
Маркетолог","Разработка маркетинговой стратегии, лидогенерация"
"
Менеджер отдела продаж","- Работа и переговоры с клиентами/предпринимателями;- Ведение учета в AMO CRM;- Регулярная отчетность;"
"
Руководитель отдела продаж","Управление отделом продаж, построения отдела продаж с нуля"
"
Руководитель отдела продаж в IT","Международная компания IT интегратор ищет Руководителя Отдела Продаж, который сможет вникнуть в суть продуктов и услуг и создать свой собственный отдел"
"
Веб-разработчик (Full-Stack)","В стартап-проект по созданию Портала гидов и экскурсий Казахстана приглашем начинающего Full-Stack разработчика с компетенциями по базам данных."
"
Руководитель Отдела по работе с базами данных","Руководитель Отдела по работе с базами данных
Создание базы данных Института, анализ потребностей в базе данных, применения Big Data, AI."
"
Интернет-маркетолог","Международная компания IT интегратор, с реализованным портфелем проектов 370+, примет в свою команду интернет-маркетолога"
"
Unity Developer","Компания OGames приглашает на работу Unity разработчика на проект CarParking Multiplayer"
"
UX/UI дизайнер","В компанию в сфере инфраструктуры требуется UX/UI дизайнер для различных IT проектов"
"
IT Project Manager","Требуется продуктовый и проектный менеджер в интересные проекты в сфере инфраструктуры"
"
Junior QA Engineer","We are currently looking for a Junior QA Engineer to join our QA Department and will work on testing our games. Does it seem interesting for you? Apply now!"
"
Flutter - разработчик (middle-senior)","В наш международный проект с клиентами в США и СНГ ищем разработчиков Flutter уровня middle+ -  senior"
"
Главный менеджер в офис ивентов","Международный технопарк IT-стартапов Astana Hub в поисках главного менеджера в офис ивентов."
"
CPO","Международный технопарк IT-стартапов Astana Hub в поисках CPO в офис IT-продуктов."
"
Инженер ГИС 1 категории","АО «НК «ҚҒС» ОБЪЯВЛЯЕТ КОНКУРС НА ЗАНЯТИЕ ВАКАНТНОЙ ДОЛЖНОСТИ ИНЖЕНЕРА 1 КАТЕГОРИИ ОТДЕЛА МОНИТОРИНГА ОБОРОНЫ И БЕЗОПАСНОСТИ"
"
Программист 1С (уровень Senior)","Компания Арида в поиске программистов 1С по всему Казахстану"
"
Программист 1С (уровень Middle)","Компания Арида в поиске программистов 1 С по всему Казахстану."
"
FullStack-разработчик (C#)","Ваши должностные обязанности будут включать разработку цифровых сервисов  для оказания финансовых услуг бизнесу, а также в создании платформы для автоматизации"
"
Team Lead Frontend-разработчик","Международный технопарк IT-стартапов Astana Hub в поисках Team Lead Frontend-разработчика."
"
Team Lead Backend-разработчик","Международный технопарк IT стартапов в поисках Team Lead Backend-разработчика."
"
DevOps-инженер","Международный технопарк IT стартапов Astana Hub в поисках DevOps-инженера."
"
Старший менеджер службы мониторинга","Международный технопарк IT стартапов Astana Hub в поисках старшего менеджера службы мониторинга."
